ppe_types_requested,datecreated,facility_type,stateprovince,county,censustractfips
"N95 Respirators, Surgical Masks, Nitrile Gloves, Disposable Booties, Face Shields",2020-03-20 14:33:00+00:00,,WA,King,53033021802
"Surgical Masks, Nitrile Gloves, Disposable Booties, Face Shields, N95 Respirators",2020-03-20 14:33:20+00:00,,WA,King,53033021802
"Disposable Booties, Disinfecting Wipes, Surgical Masks, N95 Respirators, Gowns, Thermometers, Face Shields, Nitrile Gloves",2020-03-20 14:46:00+00:00,,CA,San Joaquin,06077003803
"Face Shields, Surgical Masks, Disinfecting Wipes, Gowns, Thermometers, Disposable Booties, N95 Respirators, Nitrile Gloves",2020-03-20 14:46:19+00:00,,CA,San Joaquin,06077003803
"N95 Respirators, Face Shields, Surgical Masks",2020-03-20 14:48:00+00:00,,CA,Santa Cruz,06087121300
"Face Shields, Surgical Masks, N95 Respirators",2020-03-20 14:48:29+00:00,,CA,Santa Cruz,06087121300
"Disinfecting Wipes, Nitrile Gloves, N95 Respirators, Surgical Masks, Gowns, Hand Sanitizer, Face Shields",2020-03-20 14:52:09+00:00,,WA,King,
"Hand Sanitizer, Disposable Booties, Face Shields, Nitrile Gloves, Disinfecting Wipes, Surgical Masks, N95 Respirators, Gowns",2020-03-20 14:59:00+00:00,,NY,Kings,36047028501
"Surgical Masks, Nitrile Gloves, N95 Respirators",2020-03-20 14:59:59+00:00,,NY,Kings,36047028501
"Gowns, Face Shields, Disposable Booties, Surgical Masks, Nitrile Gloves, Disinfecting Wipes, N95 Respirators, Hand Sanitizer, Thermometers",2020-03-20 15:02:00+00:00,,WA,King,53033032220
"Nitrile Gloves, Hand Sanitizer, Surgical Masks",2020-03-20 15:18:00+00:00,,WA,King,53033027300
"Hand Sanitizer, Nitrile Gloves, Surgical Masks",2020-03-20 15:18:57+00:00,,WA,King,53033027300
"Surgical Masks, N95 Respirators, Disposable Booties, Nitrile Gloves, Face Shields",2020-03-20 15:40:26+00:00,,MS,Harrison,28047002600
N95 Respirators,2020-03-20 15:42:13+00:00,,MN,,
"Hand Sanitizer, Surgical Masks, Gowns, N95 Respirators, Disinfecting Wipes",2020-03-20 15:42:43+00:00,,CA,San Mateo,06081609800
"Hand Sanitizer, Surgical Masks",2020-03-20 16:07:08+00:00,,MO,St. Louis,29189215231
"Disinfecting Wipes, Disposable Booties, Gowns, Thermometers, Nitrile Gloves, N95 Respirators, Hand Sanitizer, Surgical Masks, Face Shields",2020-03-20 16:26:00+00:00,,NJ,Bergen,34003047100
"Nitrile Gloves, Thermometers, Face Shields, N95 Respirators, Surgical Masks, Hand Sanitizer, Gowns, Disinfecting Wipes, Disposable Booties",2020-03-20 16:26:55+00:00,,NJ,Bergen,34003047100
"Nitrile Gloves, Face Shields, Surgical Masks, Disposable Booties, N95 Respirators",2020-03-20 16:31:00+00:00,,FL,Broward,12011070104
"Face Shields, Disposable Booties, Nitrile Gloves, N95 Respirators, Surgical Masks",2020-03-20 16:31:16+00:00,,FL,Broward,12011070104
"Face Shields, Surgical Masks, N95 Respirators, Nitrile Gloves, Disposable Booties",2020-03-20 16:41:00+00:00,,MS,Hancock,
"Face Shields, N95 Respirators, Nitrile Gloves, Surgical Masks, Disposable Booties",2020-03-20 16:41:29+00:00,,MS,Hancock,
"Surgical Masks, Hand Sanitizer, Gowns, Disinfecting Wipes, N95 Respirators, Face Shields",2020-03-20 18:54:32+00:00,,CA,San Francisco,06075012601
"Surgical Masks, N95 Respirators, Face Shields",2020-03-20 19:11:00+00:00,,MI,Wayne,26163579900
"N95 Respirators, Surgical Masks, Face Shields",2020-03-20 19:11:21+00:00,,MI,Wayne,26163579900
"Face Shields, Surgical Masks, Nitrile Gloves, N95 Respirators, Disposable Booties",2020-03-20 19:32:00+00:00,,OR,Deschutes,41017001701
"Disposable Booties, N95 Respirators, Surgical Masks, Nitrile Gloves, Face Shields",2020-03-20 19:32:44+00:00,,OR,Deschutes,41017001701
"Face Shields, Nitrile Gloves, N95 Respirators, Disposable Booties, Surgical Masks",2020-03-20 19:53:00+00:00,,NY,New York,36061025500
"Surgical Masks, Face Shields, Nitrile Gloves, N95 Respirators, Disposable Booties",2020-03-20 19:53:15+00:00,,NY,New York,36061025500
"N95 Respirators, Face Shields, Disposable Booties, Surgical Masks, Nitrile Gloves",2020-03-20 19:54:00+00:00,,CA,Los Angeles,06037701602
"Nitrile Gloves, Gowns, Disposable Booties, Surgical Masks, Face Shields, N95 Respirators",2020-03-20 19:54:57+00:00,,CA,Los Angeles,06037701602
"Nitrile Gloves, Disinfecting Wipes, Surgical Masks, Disposable Booties, Hand Sanitizer, Face Shields, N95 Respirators",2020-03-20 20:00:00+00:00,,CA,Los Angeles,06037701602
"Surgical Masks, Disinfecting Wipes, Nitrile Gloves, Hand Sanitizer, Disposable Booties, N95 Respirators, Face Shields",2020-03-20 20:00:40+00:00,,CA,Los Angeles,06037701602
"Surgical Masks, Nitrile Gloves, Disposable Booties, N95 Respirators, Thermometers, Face Shields, Hand Sanitizer, Disinfecting Wipes",2020-03-20 20:31:00+00:00,Acute care hospital,CA,Santa Clara,06085502101
"Face Shields, Hand Sanitizer, Surgical Masks, Nitrile Gloves, Disposable Booties, Thermometers, N95 Respirators, Disinfecting Wipes",2020-03-20 20:31:45+00:00,Acute care hospital,CA,Santa Clara,06085502101
"N95 Respirators, Surgical Masks",2020-03-20 20:58:16+00:00,,CA,Alameda,06001401000
"Nitrile Gloves, Surgical Masks, N95 Respirators",2020-03-20 21:22:00+00:00,,WA,Pierce,
"N95 Respirators, Surgical Masks, Nitrile Gloves",2020-03-20 21:22:04+00:00,,WA,Pierce,
"Disposable Booties, Surgical Masks, Nitrile Gloves, Face Shields, N95 Respirators",2020-03-20 21:32:38+00:00,,CA,Sonoma,06097152100
"Surgical Masks, Disposable Booties, Face Shields, Nitrile Gloves, N95 Respirators",2020-03-20 21:43:00+00:00,,OR,Coos,41011000600
"Surgical Masks, Nitrile Gloves, Disposable Booties, Face Shields, N95 Respirators",2020-03-20 21:43:30+00:00,,OR,Coos,41011000600
"Disposable Booties, N95 Respirators, Surgical Masks, Face Shields, Nitrile Gloves",2020-03-20 22:19:00+00:00,,NV,Washoe,32031000702
"Disposable Booties, Nitrile Gloves, Surgical Masks, N95 Respirators, Face Shields",2020-03-20 22:19:11+00:00,,NV,Washoe,32031000702
"Surgical Masks, N95 Respirators, Face Shields, Disposable Booties, Nitrile Gloves",2020-03-20 22:29:02+00:00,,CA,Santa Clara,06085511609
N95 Respirators,2020-03-20 22:46:00+00:00,Acute care hospital,WA,Benton,53005010500
N95 Respirators,2020-03-20 22:46:06+00:00,,WA,Benton,53005010500
"Nitrile Gloves, Surgical Masks, Hand Sanitizer",2020-03-20 22:48:02+00:00,,WA,King,53033027300
"N95 Respirators, Surgical Masks",2020-03-20 22:49:00+00:00,,WA,King,53033008500
"N95 Respirators, Surgical Masks",2020-03-20 22:49:01+00:00,,WA,King,53033008500
"Nitrile Gloves, Gowns, Surgical Masks, N95 Respirators, Coveralls / Bunny Suits",2020-03-20 22:50:21+00:00,,WA,Thurston,53067010801
N95 Respirators,2020-03-20 22:55:03+00:00,,OR,Multnomah,
"N95 Respirators, Disposable Booties, Surgical Masks, Face Shields, Nitrile Gloves",2020-03-20 22:57:00+00:00,,OR,Multnomah,41051001000
"Surgical Masks, Face Shields, Nitrile Gloves, N95 Respirators, Disposable Booties",2020-03-20 22:57:55+00:00,,OR,Multnomah,41051001000
"Nitrile Gloves, Surgical Masks, N95 Respirators, Hand Sanitizer, Face Shields, Thermometers",2020-03-20 22:58:00+00:00,,MA,Suffolk,25025020304
"Nitrile Gloves, Thermometers, N95 Respirators, Face Shields, Surgical Masks, Hand Sanitizer",2020-03-20 22:58:44+00:00,,MA,Suffolk,25025020304
"Disposable Booties, Nitrile Gloves, Disinfecting Wipes, N95 Respirators, Hand Sanitizer, Surgical Masks, Face Shields",2020-03-20 22:59:00+00:00,,OR,Multnomah,41051001101
"Surgical Masks, Nitrile Gloves, N95 Respirators",2020-03-20 22:59:00+00:00,,CA,Alameda,
"Nitrile Gloves, Hand Sanitizer, Disposable Booties, N95 Respirators, Disinfecting Wipes, Face Shields, Surgical Masks",2020-03-20 22:59:09+00:00,,OR,Multnomah,41051001101
"N95 Respirators, Disinfecting Wipes, Face Shields, Hand Sanitizer, Surgical Masks",2020-03-20 23:00:00+00:00,,VT,Bennington,50003971100
"Nitrile Gloves, N95 Respirators, Disposable Booties, Surgical Masks, Face Shields",2020-03-20 23:00:00+00:00,,VA,,51550020911
"N95 Respirators, Face Shields, Surgical Masks",2020-03-20 23:00:00+00:00,,MA,Suffolk,25025081001
"N95 Respirators, Face Shields, Surgical Masks, Hand Sanitizer, Disinfecting Wipes",2020-03-20 23:00:03+00:00,,VT,Bennington,50003971100
"Surgical Masks, Face Shields, N95 Respirators",2020-03-20 23:00:46+00:00,,MA,Suffolk,25025081001
"Disposable Booties, Face Shields, Surgical Masks, Nitrile Gloves, N95 Respirators",2020-03-20 23:00:48+00:00,,VA,,51550020911
"Face Shields, N95 Respirators, Gowns, Nitrile Gloves, Surgical Masks",2020-03-20 23:01:00+00:00,,CA,Alameda,06001421800
"Hand Sanitizer, N95 Respirators, Surgical Masks, Disposable Booties, Face Shields, Disinfecting Wipes, Nitrile Gloves",2020-03-20 23:01:33+00:00,,VA,Fairfax,51059440202
"Surgical Masks, N95 Respirators",2020-03-20 23:01:38+00:00,,MA,Suffolk,
"N95 Respirators, Surgical Masks, Gowns, Nitrile Gloves, Face Shields",2020-03-20 23:01:40+00:00,,CA,Alameda,06001421800
"N95 Respirators, Surgical Masks, Face Shields, Nitrile Gloves, Disposable Booties",2020-03-20 23:02:56+00:00,,CA,Alameda,06001437300
"Nitrile Gloves, Surgical Masks, Hand Sanitizer, N95 Respirators",2020-03-20 23:06:12+00:00,,CA,Alameda,06001405700
"N95 Respirators, Nitrile Gloves, Hand Sanitizer, Surgical Masks, Disinfecting Wipes, Face Shields, Gowns",2020-03-20 23:07:00+00:00,,CA,Alameda,06001403501
"N95 Respirators, Surgical Masks, Hand Sanitizer, Nitrile Gloves",2020-03-20 23:07:43+00:00,,CA,Alameda,
"Gowns, Surgical Masks, Nitrile Gloves, Hand Sanitizer",2020-03-20 23:08:00+00:00,,DC,,11001003901
"Hand Sanitizer, Nitrile Gloves, Gowns, Surgical Masks",2020-03-20 23:08:38+00:00,,DC,,11001003901
"Surgical Masks, Nitrile Gloves, Hand Sanitizer, N95 Respirators",2020-03-20 23:09:03+00:00,,CA,Alameda,06001401000
"Hand Sanitizer, Face Shields, Surgical Masks, N95 Respirators, Disinfecting Wipes",2020-03-20 23:09:41+00:00,,DC,,11001002302
"N95 Respirators, Surgical Masks",2020-03-20 23:09:42+00:00,,MA,Middlesex,
N95 Respirators,2020-03-20 23:11:09+00:00,,CA,San Francisco,06075015801
"N95 Respirators, Surgical Masks",2020-03-20 23:11:39+00:00,,MA,Middlesex,25017342101
"Surgical Masks, N95 Respirators",2020-03-20 23:12:38+00:00,,MA,Middlesex,25017351101
"N95 Respirators, Nitrile Gloves, Face Shields, Gowns, Surgical Masks",2020-03-20 23:13:00+00:00,,CA,Santa Clara,06085505007
"Nitrile Gloves, Surgical Masks, N95 Respirators, Gowns, Face Shields",2020-03-20 23:13:29+00:00,,CA,Santa Clara,06085505007
"Surgical Masks, Hand Sanitizer, N95 Respirators, Gowns, Face Shields",2020-03-20 23:26:00+00:00,,MI,Washtenaw,26161980100
"Surgical Masks, N95 Respirators, Face Shields, Gowns, Hand Sanitizer",2020-03-20 23:26:47+00:00,,MI,Washtenaw,26161980100
"N95 Respirators, Surgical Masks, Face Shields",2020-03-20 23:27:00+00:00,,MO,Clay,29047022101
"Surgical Masks, Face Shields, N95 Respirators",2020-03-20 23:27:35+00:00,,MO,Clay,29047022101
"N95 Respirators, Face Shields, Surgical Masks",2020-03-20 23:29:00+00:00,,MT,Missoula,30063000300
"Surgical Masks, Face Shields, N95 Respirators",2020-03-20 23:29:02+00:00,,MT,Missoula,30063000300
"Nitrile Gloves, N95 Respirators, Surgical Masks, Gowns, Face Shields",2020-03-20 23:29:53+00:00,,CA,Santa Clara,06085504601
"Gowns, N95 Respirators, Face Shields, Surgical Masks, Nitrile Gloves",2020-03-20 23:31:00+00:00,,CA,Contra Costa,06013338302
"Hand Sanitizer, Surgical Masks",2020-03-20 23:38:00+00:00,,MO,St. Louis,29189215231
"Hand Sanitizer, Surgical Masks",2020-03-20 23:38:53+00:00,,MO,St. Louis,29189215231
"Surgical Masks, N95 Respirators, Face Shields, Nitrile Gloves, Disposable Booties, Gowns",2020-03-20 23:47:00+00:00,,NY,Bronx,36005042100
"Face Shields, N95 Respirators",2020-03-20 23:47:55+00:00,,NY,Bronx,36005042100
N95 Respirators,2020-03-20 23:53:25+00:00,,NY,Queens,36081026700
"Surgical Masks, N95 Respirators",2020-03-20 23:54:00+00:00,,NY,New York,36061011600
"N95 Respirators, Surgical Masks",2020-03-20 23:54:18+00:00,,NY,New York,36061011600
"Nitrile Gloves, Disposable Booties, N95 Respirators, Surgical Masks, Face Shields",2020-03-21 00:08:00+00:00,,CA,Alameda,06001430900
"Surgical Masks, Face Shields, N95 Respirators, Gowns, Disposable Booties, Disinfecting Wipes, Nitrile Gloves, Hand Sanitizer, Thermometers",2020-03-21 00:08:38+00:00,,CA,Alameda,06001430900
"Face Shields, N95 Respirators",2020-03-21 01:33:49+00:00,,CA,San Mateo,
"Nitrile Gloves, Face Shields, N95 Respirators, Disposable Booties, Surgical Masks",2020-03-21 03:36:35+00:00,,AL,,
"Nitrile Gloves, Face Shields, Disposable Booties, N95 Respirators, Surgical Masks",2020-03-21 05:14:00+00:00,,PA,Philadelphia,42101000902
"N95 Respirators, Nitrile Gloves, Surgical Masks, Face Shields, Disposable Booties",2020-03-21 05:14:32+00:00,,PA,Philadelphia,42101000902
"Nitrile Gloves, Surgical Masks, Disposable Booties, Face Shields, N95 Respirators",2020-03-21 06:08:00+00:00,,CA,Orange,06059011714
"Disposable Booties, N95 Respirators, Surgical Masks, Face Shields, Nitrile Gloves",2020-03-21 06:08:41+00:00,,CA,Orange,06059011714
"N95 Respirators, Surgical Masks",2020-03-21 06:50:00+00:00,,WA,Thurston,53067012223
"Surgical Masks, N95 Respirators",2020-03-21 06:50:08+00:00,,WA,Thurston,53067012223
"Surgical Masks, N95 Respirators",2020-03-21 06:51:00+00:00,,WA,Lewis,53041970200
"Surgical Masks, N95 Respirators",2020-03-21 06:51:18+00:00,,WA,Lewis,53041970200
"Hand Sanitizer, Gowns, N95 Respirators, Surgical Masks, Face Shields",2020-03-21 07:17:00+00:00,,CA,Riverside,06065042403
"N95 Respirators, Hand Sanitizer, Gowns, Surgical Masks, Face Shields",2020-03-21 07:17:58+00:00,,CA,Riverside,06065042403
"Face Shields, Disposable Booties, Nitrile Gloves, N95 Respirators, Surgical Masks",2020-03-21 07:59:00+00:00,,NY,Queens,36081079900
"N95 Respirators, Disposable Booties, Face Shields, Nitrile Gloves, Surgical Masks",2020-03-21 07:59:03+00:00,,NY,Queens,36081079900
"Surgical Masks, Face Shields, N95 Respirators, Nitrile Gloves",2020-03-21 08:44:00+00:00,,NY,Bronx,
"Surgical Masks, Face Shields, N95 Respirators, Nitrile Gloves",2020-03-21 08:44:23+00:00,,NY,Bronx,
"Disposable Booties, Face Shields, N95 Respirators, Surgical Masks",2020-03-21 09:08:00+00:00,,WV,Cabell,54011001500
"Disposable Booties, Surgical Masks, Face Shields, N95 Respirators",2020-03-21 09:08:16+00:00,,WV,Cabell,54011001500
"Face Shields, Disposable Booties, Surgical Masks, Nitrile Gloves, N95 Respirators",2020-03-21 09:14:00+00:00,,NY,Kings,36047064200
"N95 Respirators, Nitrile Gloves, Face Shields, Disposable Booties, Surgical Masks",2020-03-21 09:14:41+00:00,,NY,Kings,36047064200
"N95 Respirators, Nitrile Gloves, Disposable Booties, Face Shields, Surgical Masks",2020-03-21 09:38:00+00:00,,CO,Larimer,08069001605
"Disposable Booties, N95 Respirators, Surgical Masks, Face Shields, Nitrile Gloves",2020-03-21 09:38:27+00:00,,CO,Larimer,08069001605
"N95 Respirators, Surgical Masks",2020-03-21 09:56:11+00:00,,NY,New York,
"Hand Sanitizer, Gowns, N95 Respirators, Surgical Masks, Disposable Booties, Nitrile Gloves, Face Shields",2020-03-21 10:50:00+00:00,,CA,Los Angeles,06037481101
"Nitrile Gloves, Surgical Masks, Disposable Booties, Disinfecting Wipes, Face Shields, Gowns, Thermometers, N95 Respirators, Hand Sanitizer",2020-03-21 10:50:25+00:00,,CA,Los Angeles,06037481101
"Disinfecting Wipes, Hand Sanitizer, Face Shields, Nitrile Gloves, Surgical Masks, Gowns, N95 Respirators, Disposable Booties",2020-03-21 10:58:00+00:00,,WA,Snohomish,53061040100
"Disposable Booties, Disinfecting Wipes, Hand Sanitizer, Gowns, Surgical Masks, Nitrile Gloves, N95 Respirators, Face Shields",2020-03-21 10:58:57+00:00,,WA,Snohomish,53061040100
"Disinfecting Wipes, Hand Sanitizer, Surgical Masks, Face Shields, Disposable Booties, N95 Respirators",2020-03-21 11:28:00+00:00,,CA,San Francisco,06075011102
"Surgical Masks, Face Shields, Hand Sanitizer, N95 Respirators, Disinfecting Wipes, Disposable Booties",2020-03-21 11:28:33+00:00,,CA,San Francisco,06075011102
"Hand Sanitizer, Nitrile Gloves, Disposable Booties, Gowns, N95 Respirators, Surgical Masks, Face Shields",2020-03-21 11:39:19+00:00,,MS,Harrison,
"Face Shields, N95 Respirators, Hand Sanitizer, Gowns, Surgical Masks, Thermometers, Nitrile Gloves, Disinfecting Wipes",2020-03-21 11:41:44+00:00,,CA,Los Angeles,06037203300
"Surgical Masks, Nitrile Gloves, N95 Respirators, Gowns, Face Shields",2020-03-21 11:52:48+00:00,,NY,New York,36061012400
"N95 Respirators, Disinfecting Wipes, Surgical Masks, Face Shields, Nitrile Gloves, Gowns",2020-03-21 11:55:00+00:00,,MI,Kent,26081011502
"Surgical Masks, Disinfecting Wipes, Face Shields, Nitrile Gloves, Gowns, N95 Respirators",2020-03-21 11:55:42+00:00,,MI,Kent,26081011502
"Disposable Booties, Surgical Masks, Gowns, N95 Respirators, Face Shields, Hand Sanitizer, Nitrile Gloves",2020-03-21 11:58:00+00:00,,CA,San Diego,06073000400
"Hand Sanitizer, Disposable Booties, N95 Respirators, Face Shields, Gowns, Nitrile Gloves, Surgical Masks",2020-03-21 11:58:06+00:00,,CA,San Diego,06073008305
"N95 Respirators, Disposable Booties, Face Shields, Surgical Masks",2020-03-21 12:15:25+00:00,Acute care hospital,CA,Alameda,06001441929
"Surgical Masks, N95 Respirators, Gowns, Disposable Booties, Face Shields, Nitrile Gloves, Thermometers, Disinfecting Wipes, Hand Sanitizer",2020-03-21 12:56:00+00:00,,CA,Santa Clara,06085508602
"Surgical Masks, N95 Respirators, Thermometers, Disinfecting Wipes, Gowns, Nitrile Gloves, Face Shields, Hand Sanitizer, Disposable Booties",2020-03-21 12:56:35+00:00,,CA,Santa Clara,06085508602
"Nitrile Gloves, N95 Respirators, Face Shields, Hand Sanitizer, Surgical Masks, Gowns",2020-03-21 13:04:00+00:00,,ID,Ada,16001010234
"Hand Sanitizer, Surgical Masks, N95 Respirators, Face Shields, Nitrile Gloves, Gowns",2020-03-21 13:04:12+00:00,,ID,Ada,16001010234
"N95 Respirators, Gowns, Disinfecting Wipes, Hand Sanitizer, Surgical Masks, Thermometers, Face Shields, Nitrile Gloves",2020-03-21 13:05:00+00:00,,OK,Oklahoma,40109106610
"Nitrile Gloves, Face Shields, Surgical Masks, Thermometers, N95 Respirators, Hand Sanitizer, Disinfecting Wipes, Gowns",2020-03-21 13:05:19+00:00,,OK,Oklahoma,40109106610
N95 Respirators,2020-03-21 14:20:00+00:00,,AL,Madison,01089003100
N95 Respirators,2020-03-21 14:20:32+00:00,,AL,Madison,01089003100
N95 Respirators,2020-03-21 14:27:36+00:00,,CA,San Mateo,
"N95 Respirators, Face Shields",2020-03-21 14:30:57+00:00,,TX,Jefferson,
"Gowns, N95 Respirators, Surgical Masks",2020-03-21 15:01:00+00:00,,MA,Middlesex,25017342101
"N95 Respirators, Surgical Masks, Gowns",2020-03-21 15:02:00+00:00,,MA,Middlesex,25017351101
"Gowns, N95 Respirators, Surgical Masks",2020-03-21 15:04:00+00:00,,MA,Middlesex,25017352900
"Gowns, N95 Respirators, Surgical Masks",2020-03-21 15:04:14+00:00,,MA,Middlesex,25017352900
"Gowns, Surgical Masks, N95 Respirators, Nitrile Gloves, Face Shields",2020-03-21 15:31:09+00:00,,CA,,
"Face Shields, Thermometers, N95 Respirators, Surgical Masks, Gowns, Disinfecting Wipes, Disposable Booties, Hand Sanitizer, Nitrile Gloves",2020-03-21 16:12:00+00:00,,CA,Los Angeles,06037651101
"Thermometers, Face Shields, N95 Respirators, Disinfecting Wipes, Hand Sanitizer, Gowns, Nitrile Gloves, Disposable Booties, Surgical Masks",2020-03-21 16:12:27+00:00,,CA,Los Angeles,06037651101
N95 Respirators,2020-03-21 16:22:00+00:00,Acute care hospital,CA,Alameda,06001433300
"Nitrile Gloves, Hand Sanitizer, Surgical Masks, Face Shields, Coveralls / Bunny Suits, N95 Respirators, Gowns, Disinfecting Wipes",2020-03-21 16:22:03+00:00,,CA,Alameda,06001433300
"N95 Respirators, Gowns, Thermometers, Face Shields, Hand Sanitizer, Nitrile Gloves, Disposable Booties, Surgical Masks, Disinfecting Wipes",2020-03-21 16:39:02+00:00,,CA,Sacramento,06067001702
"Nitrile Gloves, N95 Respirators, Face Shields, Surgical Masks",2020-03-21 16:56:00+00:00,,RI,Providence,44007000600
"N95 Respirators, Face Shields, Surgical Masks, Nitrile Gloves",2020-03-21 16:56:56+00:00,,RI,Providence,44007000600
"N95 Respirators, Hand Sanitizer, Nitrile Gloves, Face Shields, Thermometers, Disposable Booties, Gowns, Disinfecting Wipes, Surgical Masks",2020-03-21 17:32:50+00:00,,MA,Plymouth,25023530500
"Surgical Masks, N95 Respirators",2020-03-21 17:49:00+00:00,,MN,Wright,27171100705
"N95 Respirators, Surgical Masks",2020-03-21 17:49:10+00:00,,MN,Wright,27171100705
"Nitrile Gloves, Surgical Masks, Coveralls / Bunny Suits, Disinfecting Wipes, Face Shields, N95 Respirators, Hand Sanitizer",2020-03-21 18:23:00+00:00,,MA,Essex,25009250700
"Hand Sanitizer, Face Shields, Nitrile Gloves, Disinfecting Wipes, Surgical Masks, N95 Respirators, Gowns",2020-03-21 18:23:00+00:00,,NJ,Cumberland,34011041002
"N95 Respirators, Disinfecting Wipes, Hand Sanitizer, Surgical Masks, Face Shields, Gowns, Nitrile Gloves",2020-03-21 18:23:48+00:00,,NJ,Cumberland,34011041002
"Surgical Masks, N95 Respirators, Nitrile Gloves, Hand Sanitizer, Gowns, Face Shields",2020-03-21 18:23:58+00:00,,MA,Essex,25009250700
"Face Shields, Thermometers, N95 Respirators, Disinfecting Wipes, Nitrile Gloves, Gowns, Surgical Masks, Hand Sanitizer",2020-03-21 18:28:16+00:00,,NJ,Essex,34013008200
